Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Backartikel,Zenker,"€ 2,00",Kein vorheriger Preis,"€ 2,00 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Milchaufschäumer SM3585,Severin,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Kuscheldecke,Keine Marke,"€ 12,99",Kein vorheriger Preis,"€ 6,50 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Edel-Renforcé Wendebettwäsche,Gabby's Dollhouse,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Performance Akku-Bohrschrauber Starterset,Parkside,"€ 69,99",Kein vorheriger Preis,"€ 69,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Hähnchen-Schnitte Cordon Bleu,Metzgerfrisch,"€ 6,49",Kein vorheriger Preis,"€ 8,65 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Herren Pyjama,Esmara,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Schweine Schnitzel,Metzgerfrisch,"€ 5,99",Kein vorheriger Preis,"€ 7,49 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Performance Exzenterschleifer PPEXS 750 B2,Parkside,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Digitale Löffelwaage,SilverCrest,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Feigen Walnussbrot,Lidl Backshop,"€ 1,49",Kein vorheriger Preis,"€ 4,26 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Men Feinripp Achselhemden 2er,Esmara,"€ 4,99",Kein vorheriger Preis,"€ 2,50 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Griechische Spinattasche,Lidl Backshop,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Cargo Arbeitsbundhose,Parkside,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Premium Lamm-Filets,Metzgerfrisch,"€ 14,00",Kein vorheriger Preis,"€ 28,00 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Delikatess-Hähnchenbrust,Dulano,"€ 1,99",Kein vorheriger Preis,"€ 15,92 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Gerippte Tops,Esmara,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Klapptritt,Parkside,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Corned Beef,Dulano,"€ 2,99",Kein vorheriger Preis,"€ 14,95 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Kinder-Fäustlinge,Lupilu,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Multifunktionswerkzeug PMFW 250 A1,Parkside,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Käsevariation,Milbona,"€ 1,79",Kein vorheriger Preis,"€ 7,16 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Monte Snack,Zott,"€ 1,99",Kein vorheriger Preis,"€ 8,58 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Gyros-Pfanne,Eridanous,"€ 5,79",Kein vorheriger Preis,"€ 7,72 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Kinder-Ski- und Snowboardhelm,Crivit,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Wiesenländer,Milbona,"€ 1,55",Kein vorheriger Preis,"€ 8,86 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Ascheeimer,Parkside,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Moussaka,Eridanous,"€ 3,79",Kein vorheriger Preis,"€ 9,97 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Premium Lammmedaillons,Metzgerfrisch,"€ 4,80",Kein vorheriger Preis,"€ 20,00 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Carré Gourmet,Président,"€ 2,29",Kein vorheriger Preis,"€ 11,45 / kg -",10.10. - 11.10.,2025-10-10,2025-10-11
Mega Bärchen,Sweet Corner,"€ 0,99",Kein vorheriger Preis,"€ 3,30 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Heizkörper-Entlüftungssortiment,Parkside,"€ 2,79",Kein vorheriger Preis,"€ 2,79 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Puten-Bällchen,Metzgerfrisch,"€ 3,99",Kein vorheriger Preis,"€ 5,70 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Fruchtgummi Frösche,Sweet Corner,"€ 1,11",Kein vorheriger Preis,"€ 3,70 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Bodenwischer-Set Ultramax,Vileda,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Kürbiskerne,Eridanous,"€ 1,99",Kein vorheriger Preis,"€ 9,95 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Puten Schenkel,Metzgerfrisch,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
6in1 WC Duft und Farbspüler,Cillit Bang,"€ 2,49",Kein vorheriger Preis,"€ 35,57 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Mega Mix Fruity & Sour,Sweet Corner,"€ 3,45",Kein vorheriger Preis,"€ 3,45 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Schimmelentferner,Parkside,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / l -",01.10. - 04.10.,2025-10-01,2025-10-04
Elsässer Saibling,Deluxe,"€ 12,00",Kein vorheriger Preis,"€ 15,00 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Kretischer Honig,Eridanous,"€ 3,99",Kein vorheriger Preis,"€ 8,87 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Energy-Drink,Rockstar,"€ 0,99",Kein vorheriger Preis,"€ 1,98 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Halva,Eridanous,"€ 1,99",Kein vorheriger Preis,"€ 7,96 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Gold 12,Ouzo,"€ 9,99",Kein vorheriger Preis,"€ 14,27 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Damen 2-in-1-Steppmantel,Crivit,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Kitchen Tools Digitaler Reiskocher,SilverCrest,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Men Expert Duschgel,L'Oréal Paris,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Kraftstation SP 2000,Christopeit Sport,"€ 334,00",Kein vorheriger Preis,"€ 334,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Salami,Deluxe,"€ 1,79",Kein vorheriger Preis,"€ 22,38 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Damen-Funktionstights,Crivit,"€ 5,29",Kein vorheriger Preis,"€ 5,29 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Skyr Natur,Milbona,"€ 1,49",Kein vorheriger Preis,"€ 2,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Damen Maxi-Steppmantel,Esmara,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Schnellkochtopf Secure Click,Tefal,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
LED-Galaxielichterkette,Livarno Home,"€ 14,99",Kein vorheriger Preis,"€ 0,03 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Fruchtgummi,Haribo,"€ 0,79",Kein vorheriger Preis,"€ 4,94 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Kitchen Tools Grill- und Backautomat SGB 1200 B5,SilverCrest,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
LED-Lichtervorhang,Livarno Home,"€ 5,99",Kein vorheriger Preis,"€ 0,15 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Möhren,Keine Marke,"€ 0,95",Kein vorheriger Preis,"€ 0,47 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Doppel-Türbodendichtung,Parkside,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Multifunktionsschneider,SilverCrest,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Ice Tea,Lipton,"€ 1,29",Kein vorheriger Preis,"€ 1,03 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Halloween Kartoffel Gitter Wednesday,Keine Marke,"€ 1,19",Kein vorheriger Preis,"€ 10,82 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Hähnchenbrustfiletstücke,Eridanous,"€ 1,99",Kein vorheriger Preis,"€ 13,27 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Partybällchen,Eridanous,"€ 2,79",Kein vorheriger Preis,"€ 9,96 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Küchenmesserset Fresh Kitchen 2-tlg.,Tefal,"€ 7,99",Kein vorheriger Preis,"€ 4,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Vegane Teigtaschen,Vemondo,"€ 1,89",Kein vorheriger Preis,"€ 3,78 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Bitschrauber-Set PBB 4 C2,Parkside,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Feine Nurnberger Oblatenlebkuchen,Favorina,"€ 2,49",Kein vorheriger Preis,"€ 8,30 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Reine Buttermilch,Milbona,"€ 0,59",Kein vorheriger Preis,"€ 1,18 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Siebträger Espresso Maschine Scultura ECZ351,DeLonghi,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Riegel,Eridanous,"€ 2,49",Kein vorheriger Preis,"€ 12,45 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Handsägen-Set,Parkside,"€ 7,99",Kein vorheriger Preis,"€ 1,33 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Gefüllte Lebkuchen-Herzen,Favorina,"€ 2,69",Kein vorheriger Preis,"€ 8,97 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
4 Wassergläser,Livarno Home,"€ 3,99",Kein vorheriger Preis,"€ 1,00 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
5 Sterne,Metaxa,"€ 10,99",Kein vorheriger Preis,"€ 15,70 / l -",01.10. - 04.10.,2025-10-01,2025-10-04
Topf Kupfer 20 cm,SilverCrest,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Runde braune Lebkuchen,Favorina,"€ 1,49",Kein vorheriger Preis,"€ 7,45 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Heidelbeeren,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 7,92 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Bio-Agavendicksaft,Maribel,"€ 2,35",Kein vorheriger Preis,"€ 4,80 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kritharaki Pasta,Eridanous,"€ 0,89",Kein vorheriger Preis,"€ 1,78 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Dominosteine,Favorina,"€ 2,49",Kein vorheriger Preis,"€ 9,96 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Baby-Schneeoverall,Lupilu,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Bio Karottensaft,Solevita,"€ 1,79",Kein vorheriger Preis,"€ 1,79 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Zaziki,Milbona,"€ 1,65",Kein vorheriger Preis,"€ 3,30 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Zwiebeln,Keine Marke,"€ 0,89",Kein vorheriger Preis,"€ 0,89 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Joghurt,Milbona,"€ 0,99",Kein vorheriger Preis,"€ 1,65 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Nähmaschinentisch,Livarno Home,"€ 69,99","€ 79,99","€ 69,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Herren T-Shirts 3er Set,Parkside,"€ 9,99",Kein vorheriger Preis,"€ 3,33 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Gold Original,Nescafé,"€ 7,99",Kein vorheriger Preis,"€ 39,95 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Finest Blended Scotch Whisky,Ballantines,"€ 9,99",Kein vorheriger Preis,"€ 14,27 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Heidekraut-Schale,Keine Marke,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Butterschmalz,Milbona,"€ 7,49",Kein vorheriger Preis,"€ 14,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Thermo-Arbeitssocken 2 Paar,Parkside,"€ 2,99",Kein vorheriger Preis,"€ 1,50 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Bio Käse am Stück,Milbona,"€ 2,42",Kein vorheriger Preis,"€ 12,10 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Back-Hirtenkäse Vegetarisch,Eridanous,"€ 2,99",Kein vorheriger Preis,"€ 8,54 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Damen Flanell-Bigshirt,Esmara,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Halloween Schaumküsse Wednesday,Keine Marke,"€ 2,29",Kein vorheriger Preis,"€ 10,18 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Rosenstrauß,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Griechischer Oliven Mix,Eridanous,"€ 3,79",Kein vorheriger Preis,"€ 9,47 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Kinder Bueno,Ferrero,"€ 4,19",Kein vorheriger Preis,"€ 19,49 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
WC-Garnitur,Livarno Home,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
DeLuxe Gänsedaunen-Kassettenbettdecke Gold-Edition,Balette,"€ 119,00",Kein vorheriger Preis,"€ 119,00 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Original Rum,Havana Club,"€ 10,99",Kein vorheriger Preis,"€ 15,70 / l -",29.09. - 04.10.,2025-09-29,2025-10-04
Halloween Schokoladenkugeln,Keine Marke,"€ 2,99",Kein vorheriger Preis,"€ 14,95 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Trendstrauß,Keine Marke,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",01.10. - 04.10.,2025-10-01,2025-10-04
Tee,Meßmer,"€ 1,49",Kein vorheriger Preis,"€ 21,59 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Mozzarella XXL,Milbona,"€ 3,49",Kein vorheriger Preis,"€ 6,98 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Celebrations,Mars,"€ 3,99",Kein vorheriger Preis,"€ 14,83 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Wellenschnitt Pommes XXL,Harvest Basket,"€ 3,49",Kein vorheriger Preis,"€ 1,40 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
The Chocolate Block,Boekoenhoutskloof,"€ 21,99",Kein vorheriger Preis,"€ 29,32 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Seitenschrank,Keine Marke,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Spiegelschrank Oslo,Livarno Home,"€ 35,99",Kein vorheriger Preis,"€ 35,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Milchreis,Milbona,"€ 0,39",Kein vorheriger Preis,"€ 1,95 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kritzel-Kratzel-Buch,Keine Marke,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
M Riesling,Markus Molitor,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Proteinpulver,IronMaxx,"€ 12,99",Kein vorheriger Preis,"€ 25,98 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
LED-Lichtervorhang,Livarno Home,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Lugana,Cà Dei Frati,"€ 14,90",Kein vorheriger Preis,"€ 19,87 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Orangen Limonade,Fanta,"€ 1,19",Kein vorheriger Preis,"€ 0,95 / l -",29.09. - 04.10.,2025-09-29,2025-10-04
Damen Pyjama,Keine Marke,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Choco Crossies,Nestlé,"€ 1,99",Kein vorheriger Preis,"€ 13,27 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Gourmet Weichkäse,Deluxe,"€ 2,79",Kein vorheriger Preis,"€ 14,31 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kondensmilch,Milbona,"€ 0,79",Kein vorheriger Preis,"€ 2,32 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Hähnchen-Rollbraten,Metzgerfrisch,"€ 5,49",Kein vorheriger Preis,"€ 10,98 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Enjoy,Granini,"€ 1,49",Kein vorheriger Preis,"€ 1,99 / l -",04.10. - 04.10.,2025-10-04,2025-10-04
Aufbewahrungsregal,Livarno Home,"€ 26,99",Kein vorheriger Preis,"€ 26,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Mousse au Chocolat,Deluxe,"€ 3,79",Kein vorheriger Preis,"€ 10,83 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Fertiggerichte,Erasco,"€ 1,99",Kein vorheriger Preis,"€ 2,49 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Octopus Tentakel,Eridanous,"€ 9,99",Kein vorheriger Preis,"€ 18,50 / kg -",01.10. - 04.10.,2025-10-01,2025-10-04
Kasseler Minutensteaks,Metzgerfrisch,"€ 3,19",Kein vorheriger Preis,"€ 7,97 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Blumenkohl,Freshona,"€ 1,99",Kein vorheriger Preis,"€ 3,98 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Silikon Gugelhupfform,Coox,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Zucker XXL,Diamant,"€ 1,69",Kein vorheriger Preis,"€ 0,84 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Spiced Rum,Remedy,"€ 17,99",Kein vorheriger Preis,"€ 25,70 / l -",01.10. - 11.10.,2025-10-01,2025-10-11
Wäscheparfüm,Lenor,"€ 4,49",Kein vorheriger Preis,"€ 16,33 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Savaron,Laiterie de le Montagne,"€ 3,79",Kein vorheriger Preis,"€ 12,63 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Silikon-Backform,Coox,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
Selection Mandeln XXL,Alesto,"€ 4,99",Kein vorheriger Preis,"€ 9,98 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Pizza Tradizionale,Dr. Oetker,"€ 1,99",Kein vorheriger Preis,"€ 5,69 / kg -",29.09. - 04.10.,2025-09-29,2025-10-04
Faltbares Silikon-Backblech,Coox,"€ 13,99",Kein vorheriger Preis,"€ 13,99 / Stk -",29.09. - 04.10.,2025-09-29,2025-10-04
