Produkt,Marke,Preis,Vorheriger Preis,Preis_kg,Gueltig_raw,Gueltig_von,Gueltig_bis
Hirtenkäse XXL,Gazi,"€ 3,99",Kein vorheriger Preis,"€ 11,08 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Asia-Besteck 30-tlg.,Esmeyer,"€ 50,99",Kein vorheriger Preis,"€ 50,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Zanetti Caffe Crema,Segafredo,"€ 13,99",Kein vorheriger Preis,"€ 13,99 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Waschmittel Flüssig,Dash,"€ 8,49",Kein vorheriger Preis,"€ 0,08 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Käsescheiben,Bergader,"€ 1,69",Kein vorheriger Preis,"€ 13,52 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Herbstkäse,Milbona,"€ 3,99",Kein vorheriger Preis,"€ 19,95 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Tapasplatte,Sol & Mar,"€ 4,99",Kein vorheriger Preis,"€ 33,27 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Original Griechischer Joghurt,Mevgal,"€ 0,99",Kein vorheriger Preis,"€ 4,95 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Kaufladen-Zubehör,Lupilu,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Chicken Nuggets,Iglo,"€ 2,99",Kein vorheriger Preis,"€ 11,96 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Kinder Überraschung & Friends Adventskalender,Ferrero,"€ 22,99",Kein vorheriger Preis,"€ 62,14 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Sahnejoghurt,Zott,"€ 0,39",Kein vorheriger Preis,"€ 3,12 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Selection Mandeln XXL,Alesto,"€ 4,99",Kein vorheriger Preis,"€ 9,98 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Discreet Einlagen,Tena,"€ 5,49",Kein vorheriger Preis,"€ 0,23 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Sushiset 29-tlg.,Moritz & Moritz,"€ 54,99",Kein vorheriger Preis,"€ 1,90 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Herren Flanellhemd,Esmara,"€ 7,99",Kein vorheriger Preis,"€ 7,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Puten-Minifilet XXL,Metzgerfrisch,"€ 7,99",Kein vorheriger Preis,"€ 9,99 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Zucker XXL,Diamant,"€ 1,69",Kein vorheriger Preis,"€ 0,84 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Minis XXL,Nestlé,"€ 3,29",Kein vorheriger Preis,"€ 10,93 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Damen Palazzohose,Esmara,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Tee,Meßmer,"€ 1,49",Kein vorheriger Preis,"€ 21,59 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Haltbare Milch,Weihenstephan,"€ 1,19",Kein vorheriger Preis,"€ 1,19 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Die Backfrische Mozzarella,Original Wagner,"€ 1,99",Kein vorheriger Preis,"€ 5,69 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Performance Akku,Parkside,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Men Expert Anti Transpirant Deospray,L'Oréal Paris,"€ 3,29",Kein vorheriger Preis,"€ 13,16 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Express Reis,Ben's Original,"€ 1,59",Kein vorheriger Preis,"€ 7,23 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Mürbeteig-Kekse,Sol & Mar,"€ 1,99",Kein vorheriger Preis,"€ 3,32 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Schäufele Schweinebraten,Metzgerfrisch,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Aloe Vera Getränk XXL,Solevita,"€ 2,49",Kein vorheriger Preis,"€ 1,66 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Grüne Oliven mit Stein,Sol & Mar,"€ 3,49",Kein vorheriger Preis,"€ 5,82 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Performance Akku-Bohrhammer PBHAP 12 A1,Parkside,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Miracel Whip Original,Kraft,"€ 1,49",Kein vorheriger Preis,"€ 2,98 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Lachsforellenseite,Fischerstolz,"€ 12,80",Kein vorheriger Preis,"€ 16,00 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Mezquiriz Tempranillo Reserva,Navarra,"€ 5,99",Kein vorheriger Preis,"€ 7,99 / l -",16.10. - 18.10.,2025-10-16,2025-10-18
Hirtenkäse,Milbona,"€ 2,19",Kein vorheriger Preis,"€ 10,95 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Mundspülung,Listerine,"€ 6,79",Kein vorheriger Preis,"€ 5,66 / l -",09.10. - 11.10.,2025-10-09,2025-10-11
Alugussbräter Karree,ELO,"€ 39,99",Kein vorheriger Preis,"€ 39,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Schweinerückenbraten,Metzgerfrisch,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Käseecke,Sol & Mar,"€ 3,99",Kein vorheriger Preis,"€ 13,30 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Scheibenfrostschutzkonzentrat,W5,"€ 6,99",Kein vorheriger Preis,"€ 1,40 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Puppenhaus Möbel-Set,Lupilu,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Bio Traditions Wiener Würstchen,Metzgerfrisch,"€ 2,79",Kein vorheriger Preis,"€ 13,95 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Mikrofaser-Satin-Bettwäsch,Livarno Home,"€ 4,49",Kein vorheriger Preis,"€ 4,49 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Super Shots,Hohes C,"€ 1,69",Kein vorheriger Preis,"€ 5,12 / l -",10.10. - 11.10.,2025-10-10,2025-10-11
Auto-Winter-Set,Inno Trade,"€ 5,99",Kein vorheriger Preis,"€ 1,20 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Milchaufschäumer,SilverCrest,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Bio Traditions-Kochschinken,Metzgerfrisch,"€ 2,89",Kein vorheriger Preis,"€ 28,90 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Maler-Starter-Set,Parkside,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Eisenbahn-Set Baustelle 59-tlg.,Lupilu,"€ 29,99",Kein vorheriger Preis,"€ 0,51 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Sardinen,Sol & Mar,"€ 4,79",Kein vorheriger Preis,"€ 4,79 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Lyoner,Dulano,"€ 0,79",Kein vorheriger Preis,"€ 3,95 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Mango,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Laser-Entfernungsmesser,Parkside,"€ 13,49",Kein vorheriger Preis,"€ 13,49 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Damen Jeans,Esmara,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Käselaugenstange,Lidl Backshop,"€ 0,35",Kein vorheriger Preis,"€ 0,35 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Delikatess Edelsalami,Dulano,"€ 1,39",Kein vorheriger Preis,"€ 9,27 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Porree,Keine Marke,"€ 0,44",Kein vorheriger Preis,"€ 0,44 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
3D-LED Lichtfiguren,Livarno Home,"€ 44,99",Kein vorheriger Preis,"€ 15,00 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Apfel Berliner,Lidl Backshop,"€ 3,99",Kein vorheriger Preis,"€ 5,32 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Profiteroles Schoko,Deluxe,"€ 2,99",Kein vorheriger Preis,"€ 6,64 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Vegane Snack Alternative,Vemondo,"€ 1,89",Kein vorheriger Preis,"€ 10,50 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Spitzkohl,Keine Marke,"€ 0,99",Kein vorheriger Preis,"€ 0,99 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Deutsche Junge Ente,Deluxe,"€ 11,99",Kein vorheriger Preis,"€ 5,00 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Rinder Beinscheiben,Metzgerfrisch,"€ 6,49",Kein vorheriger Preis,"€ 9,27 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Schokolade,m&m's,"€ 1,69",Kein vorheriger Preis,"€ 11,27 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Polsterbett Nizza,Juskys,"€ 299,00",Kein vorheriger Preis,"€ 299,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
LED-Galaxielichterkette,Livarno Home,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Eisenbahn-Set,Lupilu,"€ 39,99",Kein vorheriger Preis,"€ 0,78 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Hirschgulasch von Hand geschnitten,Deluxe,"€ 4,49",Kein vorheriger Preis,"€ 11,22 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Halbe Pute,Metzgerfrisch,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Celebrations,Mars,"€ 2,99",Kein vorheriger Preis,"€ 16,08 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Kinder-Ski- und Snowboardhelm,Crivit,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Hähnchen-Brustfilet,Metzgerfrisch,"€ 4,99",Kein vorheriger Preis,"€ 8,32 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Bio-Tee,Fairglobe,"€ 1,69",Kein vorheriger Preis,"€ 33,80 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Selection Walnusskerne Vegan,Alesto,"€ 1,99",Kein vorheriger Preis,"€ 9,95 / kg -",13.10. - 18.10.,2025-10-13,2025-10-18
Pflanzenschutz-Vlieshauben,Parkside,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Kleinkinder-Schneestiefel,Lupilu,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Seitenschrank,Keine Marke,"€ 49,99",Kein vorheriger Preis,"€ 49,90 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Performance Sechskant-Bohrer-Set,Parkside,"€ 7,99",Kein vorheriger Preis,"€ 1,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Gartenabfallsack,Parkside,"€ 7,49",Kein vorheriger Preis,"€ 7,49 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
WC-Garnitur,Livarno Home,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Mädchen Pyjama,DreamWorks Animation,"€ 5,99",Kein vorheriger Preis,"€ 5,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Steppjacke,Livergy,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Deluxe Castillo de Albai Gran Reserva Rioja,Sansibar,"€ 8,49",Kein vorheriger Preis,"€ 11,32 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Gabby-Puppe,Gabby's Dollhouse,"€ 17,99",Kein vorheriger Preis,"€ 17,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
High Protein Quarkriegel,Milbona,"€ 0,79",Kein vorheriger Preis,"€ 10,00 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Turm-Heizlüfter TTHL 1500 B1,Tronic,"€ 19,99",Kein vorheriger Preis,"€ 19,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Dão Roséwein,Torre de Ferro,"€ 4,89",Kein vorheriger Preis,"€ 6,52 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Kitchen Tools Pizzaofen SPOH 1200,SilverCrest,"€ 49,99",Kein vorheriger Preis,"€ 49,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Speisequark,Milbona,"€ 1,29",Kein vorheriger Preis,"€ 2,58 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Heizkörperthermostat,Tronic,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Topf Kupfer 24 cm,SilverCrest,"€ 59,99",Kein vorheriger Preis,"€ 59,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Creme Joghurt,Milbona,"€ 2,49",Kein vorheriger Preis,"€ 2,49 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Sweatjacke,Esmara,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Puten Geschnetzeltes,Metzgerfrisch,"€ 5,99",Kein vorheriger Preis,"€ 7,49 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Küchenblock Classic,Menke Küchen,"€ 999,00",Kein vorheriger Preis,"€ 999,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
LED-Lichtervorhang,Livarno Home,"€ 5,99",Kein vorheriger Preis,"€ 0,15 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Rinder Markknochen,Metzgerfrisch,"€ 2,49",Kein vorheriger Preis,"€ 4,98 / kg -",09.10. - 11.10.,2025-10-09,2025-10-11
Sofa Looks VII,Looks by Wolfgang Joop,"€ 849,00",Kein vorheriger Preis,"€ 849,00 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Performance Elektro-Kettensäge PPEKS 2500 A1,Parkside,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Paella mit Meeresfrüchten,Sol & Mar,"€ 2,49",Kein vorheriger Preis,"€ 5,48 / kg -",16.10. - 18.10.,2025-10-16,2025-10-18
Blanc de Blancs,Henkell Sekt,"€ 3,99",Kein vorheriger Preis,"€ 5,32 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Gold 12,Ouzo,"€ 9,99",Kein vorheriger Preis,"€ 14,27 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Damen Plüsch-Cardigan,Esmara,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Energy-Drink,Rockstar,"€ 0,99",Kein vorheriger Preis,"€ 1,98 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Boots,Esmara,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Puten-Mini-Steaks,Metzgerfrisch,"€ 3,49",Kein vorheriger Preis,"€ 8,72 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Schweinefilet,Metzgerfrisch,"€ 4,62",Kein vorheriger Preis,"€ 8,88 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Frischhaltedosenset 3-teilig,SilverCrest,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Weltmeisterbrötchen,Lidl Backshop,"€ 0,78",Kein vorheriger Preis,"€ 0,26 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Men Boxer 3er,Esmara,"€ 3,99",Kein vorheriger Preis,"€ 1,33 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Hähnchen-Hacksteaks,Metzgerfrisch,"€ 4,49",Kein vorheriger Preis,"€ 8,02 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Brotkasten,SilverCrest,"€ 6,99",Kein vorheriger Preis,"€ 6,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
LED-Solar-Lichterkette,Livarno Home,"€ 5,29",Kein vorheriger Preis,"€ 5,29 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Nussknacker,Livarno Home,"€ 5,29",Kein vorheriger Preis,"€ 5,29 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Pepsi Cola,Pepsi,"€ 0,69",Kein vorheriger Preis,"€ 0,55 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Strickmütze,Lupilu,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Pastis,Lidanis,"€ 11,99",Kein vorheriger Preis,"€ 11,99 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
All-in-One Style Kit MGK3410,Braun,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Kombi-Puppenwagen Grande Megaset,Bayer Puppen,"€ 59,99",Kein vorheriger Preis,"€ 59,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
1888 Copenhagen Gold Medal Rum,A.H. Riise,"€ 32,99",Kein vorheriger Preis,"€ 47,13 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Beauty Entwirrbürste,Cien,"€ 2,99",Kein vorheriger Preis,"€ 2,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Zweisprachiger Laptop,Lexibook,"€ 24,99",Kein vorheriger Preis,"€ 24,99 / Stk -",13.10. - 18.10.,2025-10-13,2025-10-18
Kinder Multifunktionstuch,Lupilu,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Mini-Nussecken,Favorina,"€ 2,69",Kein vorheriger Preis,"€ 13,45 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Edelmarzipan-Baumstamm,Favorina,"€ 1,29",Kein vorheriger Preis,"€ 12,90 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Kraftstation Ferrum TX2 II,Hammer,"€ 589,00",Kein vorheriger Preis,"€ 589,00 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Kaffeemaschine SKMR 1000 A1,SilverCrest,"€ 29,99",Kein vorheriger Preis,"€ 29,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Stollen Edelmarzipan,Favorina,"€ 4,99",Kein vorheriger Preis,"€ 4,99 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Trainingsstation Power Tower,Crivit,"€ 99,99",Kein vorheriger Preis,"€ 99,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Multizerkleinerer SMZC 500 C3,SilverCrest,"€ 14,99",Kein vorheriger Preis,"€ 14,99 / Stk -",16.10. - 18.10.,2025-10-16,2025-10-18
Cookies,Sondey,"€ 1,19",Kein vorheriger Preis,"€ 5,29 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Herren Schlafshirt,Esmara,"€ 3,99",Kein vorheriger Preis,"€ 3,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Curry King,Meica,"€ 1,79",Kein vorheriger Preis,"€ 8,14 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Pyjama,Esmara,"€ 9,99",Kein vorheriger Preis,"€ 9,99 / Stk -",06.10. - 11.10.,2025-10-06,2025-10-11
Crunchips XXL,Lorenz,"€ 1,69",Kein vorheriger Preis,"€ 7,68 / kg -",06.10. - 11.10.,2025-10-06,2025-10-11
Klapptritt,Parkside,"€ 8,99",Kein vorheriger Preis,"€ 8,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
Bio-Ingwer-Shot,Solevita,"€ 2,99",Kein vorheriger Preis,"€ 5,98 / l -",13.10. - 18.10.,2025-10-13,2025-10-18
Ice Impèrial,Moët & Chandon,"€ 49,90",Kein vorheriger Preis,"€ 66,53 / l -",06.10. - 11.10.,2025-10-06,2025-10-11
Akku-Lötkolben,Parkside,"€ 12,99",Kein vorheriger Preis,"€ 12,99 / Stk -",09.10. - 11.10.,2025-10-09,2025-10-11
